x,y,heat
0,0,5.64E+02
0.0919988,0.020701,6.91E+02
0.1882394,0.0787654,1.50E+03
0.2821178,0.1405128,2.31E+03
0.3739896,0.2052574,3.32E+03
0.4642866,0.272161,4.16E+03
0.5530088,0.3411474,5.08E+03
0.6404356,0.4117594,5.72E+03
0.7267194,0.4837684,6.31E+03
0.8137398,0.5694934,7.61E+03
0.9007602,0.655193,8.45E+03
0.637286,0.9246616,1.14E+04
0.5782056,0.8782304,1.01E+04
0.5182616,0.832866,8.75E+03
0.457327,0.7888478,7.94E+03
0.3954018,0.746252,7.23E+03
0.332486,0.705104,6.63E+03
0.2683764,0.6659118,6.14E+03
0.2030476,0.6287516,5.80E+03
0.1366012,0.593598,5.70E+03
0.0688848,0.560959,6.09E+03
0,0.5309108,7.25E+03
0.0459994,0.0103505,6.17E+02
0.1401191,0.0497332,1.07E+03
0.2351786,0.1096391,1.99E+03
0.3280537,0.1728851,2.87E+03
0.4191381,0.2387092,3.79E+03
0.5086477,0.3066542,4.65E+03
0.5967222,0.3764534,5.47E+03
0.6835775,0.4477639,6.08E+03
0.7702296,0.5266309,6.93E+03
0.85725,0.6123432,8.09E+03
0.841657093,0.715640784,8.57E+03
0.785947426,0.772617922,8.91E+03
0.733436365,0.826323683,9.47E+03
0.683940258,0.876945894,1.06E+04
0.552142991,0.858506748,9.28E+03
0.359840696,0.722994435,6.84E+03
0.174157861,0.613467426,5.63E+03
0,0.463587674,6.03E+03
0,0.393606152,3.79E+03
0,0.320861261,2.68E+03
0,0.245243884,1.91E+03
0,0.166640594,1.31E+03
0,0.084933486,7.89E+02
0.231375574,0.373127411,3.82E+03
0.436091959,0.515026338,5.64E+03
0.620530804,0.662099513,7.54E+03
0.12405703,0.13223732,1.46E+03
0.632094712,0.862268383,1.04E+04
0.28513183,0.512230326,5.17E+03
0.376998158,0.381036637,4.43E+03
0.226375224,0.241484992,2.65E+03
0.582989189,0.536802385,6.33E+03
0.112846993,0.428471698,4.33E+03
0.470853661,0.650134545,6.85E+03
0.733508162,0.678780444,8.05E+03
0.610629506,0.770081962,8.67E+03
0.063671041,0.198016042,1.68E+03
0.075617536,0.071580773,8.61E+02
0.12261814,0.309847899,2.84E+03
0.3667561,0.605365142,6.12E+03
0.507413951,0.431449021,5.34E+03
0.682378104,0.552750593,6.69E+03
0.210934493,0.487175201,4.91E+03
0.305408152,0.249159394,3.18E+03
0.370023796,0.467163782,5.05E+03
0.510678591,0.715278521,7.62E+03
0.659551973,0.717097902,8.24E+03
0.448252641,0.343319299,4.51E+03
0.26692729,0.596801237,5.76E+03
0.496348141,0.569531916,6.29E+03
0.209194156,0.161693507,2.03E+03
0.07239577,0.491278269,5.82E+03
0.663360227,0.804576392,9.27E+03
0.647195398,0.477226799,6.08E+03
0.810576356,0.649756426,8.08E+03
0.052414741,0.130846685,1.17E+03
0.302188691,0.419315375,4.46E+03
0.141897519,0.232954499,2.18E+03
0.367997941,0.545304221,5.62E+03
0.26975608,0.193545511,2.61E+03
0.747976594,0.602389944,7.44E+03
0.556058465,0.636370006,7.04E+03
0.450118538,0.429201625,5.08E+03
0.194045232,0.55741345,5.42E+03
0.071599365,0.36125016,3.30E+03
0.384853935,0.289602264,3.85E+03
0.250713057,0.301726127,3.28E+03
0.150766842,0.368731337,3.57E+03
0.445376229,0.714508607,7.31E+03
0.066165822,0.278333364,2.37E+03
0.149621905,0.489157326,4.96E+03
0.506832273,0.485486688,5.73E+03
0.325278672,0.637374404,6.24E+03
0.422265851,0.592938113,6.22E+03
0.725873546,0.752325767,8.75E+03
0.051250377,0.427678671,4.42E+03
0.567459917,0.43016107,5.60E+03
0.584415937,0.714678668,7.95E+03
0.779483884,0.713869836,8.44E+03
0.677930606,0.636547143,7.49E+03
0.505655583,0.380396154,5.00E+03
0.547464374,0.786743048,8.49E+03
0.597430287,0.82675375,9.39E+03
0.308070089,0.33619089,3.80E+03
0.62400469,0.605005021,6.99E+03
0.186427911,0.305343061,3.03E+03
0.390354475,0.671844437,6.70E+03
0.242516556,0.445003759,4.48E+03
0.18283071,0.432091171,4.29E+03
0.32325482,0.579398637,5.80E+03
0.124345574,0.538436674,5.62E+03
