x,y,delta
0,0.5309,3.78E-08
0,0.4778,3.78E-08
0,0.4247,3.78E-08
0,0.3716,3.78E-08
0,0.3185,3.78E-08
0,0.2655,3.78E-08
0,0.2124,3.78E-08
0,0.1593,3.78E-08
0,0.1062,3.78E-08
0,0.0531,3.78E-08
0,0,3.78E-08
0.0689,0.561,3.78E-08
0.0712,0.5069,3.78E-08
0.0735,0.4529,3.78E-08
0.0758,0.3989,3.78E-08
0.0781,0.3449,3.78E-08
0.0804,0.2908,3.78E-08
0.0828,0.2368,3.78E-08
0.0851,0.1828,3.78E-08
0.0874,0.1288,3.78E-08
0.0897,0.0747,3.78E-08
0.092,0.0207,3.78E-08
0.1366,0.5936,3.78E-08
0.1418,0.5421,3.78E-08
0.1469,0.4906,3.78E-08
0.1521,0.4391,3.78E-08
0.1573,0.3877,3.78E-08
0.1624,0.3362,3.78E-08
0.1676,0.2847,3.78E-08
0.1727,0.2332,3.78E-08
0.1779,0.1817,3.78E-08
0.1831,0.1302,3.78E-08
0.1882,0.0788,3.78E-08
0.203,0.6288,3.78E-08
0.211,0.5799,3.78E-08
0.2189,0.5311,3.78E-08
0.2268,0.4823,3.78E-08
0.2347,0.4335,3.78E-08
0.2426,0.3846,3.78E-08
0.2505,0.3358,3.78E-08
0.2584,0.287,3.78E-08
0.2663,0.2382,3.78E-08
0.2742,0.1893,3.78E-08
0.2821,0.1405,3.78E-08
0.2684,0.6659,3.78E-08
0.2789,0.6198,3.78E-08
0.2895,0.5738,3.78E-08
0.3001,0.5277,3.78E-08
0.3106,0.4817,3.78E-08
0.3212,0.4356,3.78E-08
0.3317,0.3895,3.78E-08
0.3423,0.3435,3.78E-08
0.3529,0.2974,3.78E-08
0.3634,0.2513,3.78E-08
0.374,0.2053,3.78E-08
0.3325,0.7051,3.78E-08
0.3457,0.6618,3.78E-08
0.3588,0.6185,3.78E-08
0.372,0.5752,3.78E-08
0.3852,0.5319,3.78E-08
0.3984,0.4886,3.78E-08
0.4116,0.4453,3.78E-08
0.4247,0.402,3.78E-08
0.4379,0.3587,3.78E-08
0.4511,0.3155,3.78E-08
0.4643,0.2722,3.78E-08
0.3954,0.7463,3.78E-08
0.4112,0.7057,3.78E-08
0.4269,0.6652,3.78E-08
0.4427,0.6247,3.78E-08
0.4584,0.5842,3.78E-08
0.4742,0.5437,3.78E-08
0.49,0.5032,3.78E-08
0.5057,0.4627,3.78E-08
0.5215,0.4222,3.78E-08
0.5372,0.3817,3.78E-08
0.553,0.3411,3.78E-08
0.4573,0.7888,3.78E-08
0.4756,0.7511,3.78E-08
0.4939,0.7134,3.78E-08
0.5123,0.6757,3.78E-08
0.5306,0.638,3.78E-08
0.5489,0.6003,3.78E-08
0.5672,0.5626,3.78E-08
0.5855,0.5249,3.78E-08
0.6038,0.4872,3.78E-08
0.6221,0.4495,3.78E-08
0.6404,0.4118,3.78E-08
0.5183,0.8329,3.78E-08
0.5391,0.798,3.78E-08
0.56,0.763,3.78E-08
0.5808,0.7281,3.78E-08
0.6016,0.6932,3.78E-08
0.6225,0.6583,3.78E-08
0.6433,0.6234,3.78E-08
0.6642,0.5885,3.78E-08
0.685,0.5536,3.78E-08
0.7059,0.5187,3.78E-08
0.7267,0.4838,3.78E-08
0.5782,0.8782,3.78E-08
0.6018,0.8474,3.78E-08
0.6253,0.8165,3.78E-08
0.6489,0.7856,3.78E-08
0.6724,0.7547,3.78E-08
0.696,0.7239,3.78E-08
0.7195,0.693,3.78E-08
0.7431,0.6621,3.78E-08
0.7666,0.6312,3.78E-08
0.7902,0.6004,3.78E-08
0.8137,0.5695,3.78E-08
0.6373,0.9247,3.78E-08
0.6636,0.8977,3.78E-08
0.69,0.8708,3.78E-08
0.7163,0.8438,3.78E-08
0.7427,0.8169,3.78E-08
0.769,0.7899,3.78E-08
0.7954,0.763,3.78E-08
0.8217,0.736,3.78E-08
0.8481,0.7091,3.78E-08
0.8744,0.6821,3.78E-08
0.9008,0.6552,3.78E-08
